,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
70,,,232980,0,0,-2,2,0,2,-1.0,0.0,0,Max,0.0,59,False,,,43,232980.jpg,0.0,Aarons,0.2,False,,a,3,91,0,6692,171,16413,381,0.0,0.0,Aarons,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,519,198,507,197,471,184,522,198,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,559,144,459,180,525,196,377,134,0.0,0.0
71,100.0,100.0,200785,0,0,-1,1,0,3,-0.7,0.3,1,Tyler,0.3,60,False,,2024-07-21T20:00:04.554690Z,49,200785.jpg,1.0,Adams,0.0,False,,a,3,91,1,760,196,850,84,0.1,0.2,Adams,229.0,9,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.1,0.0,0.1,0,0.00,0.00,0.00,0.00,432,213,419,220,615,277,438,218,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,265,174,340,167,383,189,633,282,0.0,0.0
72,0.0,0.0,444180,0,0,0,0,0,3,0.0,0.0,0,Jaidon,0.0,61,False,Season long loan to Burnley,2024-08-30T09:46:29.420148Z,45,444180.jpg,0.0,Anthony,0.2,False,,u,3,91,0,8381,0,39841,496,0.0,0.0,Anthony,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,561,230,560,236,532,222,564,233,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,396,237,517,198,567,236,393,140,0.0,0.0
73,100.0,100.0,111317,0,0,-1,1,0,3,-0.3,0.7,1,David,0.7,62,False,,2024-08-12T14:30:04.440536Z,49,111317.jpg,1.0,Brooks,0.0,False,,a,3,91,2,1113,43,1286,65,0.1,0.4,Brooks,244.0,18,0,0,0,0,0,0,0,0,0,0,0,13,6.6,15.6,0.0,2.2,0,0.00,0.26,0.26,0.03,395,192,301,176,611,274,383,190,,,,,,,0.0,0.0,1.3,1.3,0.15,0.0,253,164,290,142,379,186,613,268,0.0,0.0
74,,,158499,0,0,-1,1,0,3,2.3,3.3,2,Ryan,3.3,63,False,,,49,158499.jpg,2.2,Christie,0.2,False,,a,3,91,20,14733,962,19997,759,0.7,4.1,Christie,243.0,560,1,0,2,8,0,0,0,3,0,0,0,119,115.6,115.7,63.0,29.5,7,0.37,0.28,0.65,7.95,157,57,90,67,141,89,130,76,4.0,,,,,,0.06,0.0,0.04,0.1,1.28,1.29,258,167,80,30,199,85,370,131,1.12,0.32
75,,,155408,0,0,0,0,0,3,1.3,2.3,2,Lewis,2.3,64,False,,,50,155408.jpg,3.2,Cook,0.3,False,,a,3,91,29,30881,3201,16671,1624,0.5,5.8,Cook,241.0,803,1,2,1,11,0,0,0,3,0,0,2,162,212.4,232.0,55.0,50.0,9,0.33,1.31,1.64,11.34,42,12,21,17,162,100,41,29,1.0,,,,,,0.04,0.0,0.15,0.19,1.27,1.23,196,123,143,60,102,39,329,113,1.01,0.11
76,100.0,100.0,168636,0,0,-1,1,0,4,0.0,1.0,1,Enes,1.0,65,False,,2024-08-12T14:30:04.450058Z,54,168636.jpg,1.0,Ünal,0.0,False,,a,3,91,6,6336,353,6080,389,0.2,1.1,Enes Ünal,219.0,122,0,0,1,1,0,0,0,1,0,0,0,14,10.0,27.3,47.0,7.9,1,0.66,0.08,0.74,2.07,374,35,264,30,177,34,309,34,,,4.0,,,,0.49,0.0,0.06,0.55,1.53,0.74,131,37,260,32,399,40,514,66,0.74,0.74
77,0.0,0.0,441240,0,0,0,0,0,3,0.0,0.0,0,Romain,0.0,66,False,Loaned to Brest,2024-08-20T12:15:06.505689Z,50,441240.jpg,0.0,Faivre,0.0,False,,u,3,91,0,23,0,1381,12,0.0,0.0,Faivre,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,640,289,638,290,635,288,641,290,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,225,145,621,276,641,290,639,285,0.0,0.0
78,0.0,0.0,424044,0,0,0,0,0,3,0.0,0.0,0,Hamed,0.0,67,False,Season long loan to A.J.Auxerre,2024-08-29T11:07:43.785266Z,45,424044.jpg,0.0,Traorè,0.1,False,,u,3,91,0,3525,0,16902,190,0.0,0.0,H.Traorè,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,560,229,559,235,531,221,563,232,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,392,236,516,197,566,235,478,177,0.0,0.0
79,,,463981,0,0,0,0,0,2,-1.0,0.0,0,James,0.0,68,False,,,40,463981.jpg,0.0,Hill,0.4,False,,a,3,91,0,16520,629,21324,755,0.0,0.0,Hill,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,480,167,467,167,423,147,483,167,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,630,187,406,137,485,164,289,107,0.0,0.0
80,0.0,0.0,523700,0,0,0,0,0,4,0.0,0.0,0,Daniel,0.0,69,False,Loaned to Watford,2024-08-31T06:32:40.630710Z,45,523700.jpg,1.0,Jebbison,1.6,False,,u,3,91,2,380085,0,408899,9356,0.0,0.4,Jebbison,,26,0,0,0,0,0,0,0,0,0,0,0,7,3.2,10.6,2.0,1.6,0,0.00,0.00,0.00,0.34,415,41,326,36,358,43,401,43,,,,,,,0.0,0.0,0.0,0.0,1.18,0.0,443,69,551,46,357,34,161,32,0.0,0.0
81,100.0,100.0,544877,0,0,-1,1,0,2,2.7,3.7,2,Milos,3.7,70,False,,2024-10-16T12:30:06.628105Z,44,544877.jpg,2.1,Kerkez,0.4,False,,a,3,91,19,41891,1187,45769,1437,0.8,4.3,Kerkez,98.0,747,0,0,1,11,0,0,0,2,0,0,1,78,109.4,118.5,29.0,25.8,9,0.18,0.33,0.51,11.31,168,67,86,20,223,61,157,42,,,,,,,0.02,0.0,0.04,0.06,1.36,1.33,532,123,59,17,206,65,267,99,1.08,0.12
82,,,222683,0,0,-2,2,1,3,3.7,4.7,2,Justin,4.7,71,False,,,53,222683.jpg,2.8,Kluivert,0.3,False,,a,3,91,25,26611,2662,38977,1639,0.9,4.7,Kluivert,152.0,470,1,2,3,6,0,0,0,4,0,0,2,74,103.2,111.7,159.0,37.4,6,1.57,0.57,2.14,6.99,177,70,98,74,49,28,77,49,,,,,1.0,,0.3,0.0,0.11,0.41,1.34,1.15,162,96,35,14,141,57,304,99,1.15,0.57
83,0.0,0.0,223911,0,0,-1,1,0,2,0.0,0.0,0,Chris,0.0,72,False,On loan to Sunderland for the season,2024-09-01T09:10:00.945219Z,44,223911.jpg,0.0,Mepham,0.0,False,,u,3,91,0,287,0,5583,60,0.0,0.0,Mepham,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,532,206,526,205,493,195,535,206,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,508,111,483,195,538,204,556,194,0.0,0.0
84,100.0,100.0,533463,0,0,0,0,0,3,1.0,2.0,2,Dango,2.0,74,False,,2024-09-13T18:00:06.517398Z,50,533463.jpg,2.8,Ouattara,0.0,False,,a,3,91,22,2946,199,3267,157,0.4,4.4,O.Dango,35.0,412,1,1,1,4,0,0,0,0,0,0,1,96,115.4,77.5,108.0,30.2,4,1.66,0.89,2.55,5.90,158,58,134,93,83,52,124,73,,,,,,,0.36,0.0,0.19,0.55,1.29,0.87,240,156,177,81,140,56,553,225,0.87,0.22
85,0.0,0.0,495145,0,0,0,0,0,1,0.0,0.0,0,Alex,0.0,75,False,Loaned to Auckland FC,2024-08-10T12:14:13.050842Z,40,495145.jpg,0.0,Paulsen,0.0,False,,u,3,91,0,0,0,2011,44,0.0,0.0,Paulsen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,486,57,473,39,429,31,489,57,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,637,69,412,53,491,57,563,68,0.0,0.0
86,100.0,100.0,168991,0,0,-2,2,0,3,-1.0,0.0,0,Philip,0.0,76,False,,2024-08-29T09:30:04.570455Z,48,168991.jpg,1.0,Billing,0.1,False,,a,3,91,2,3865,151,6809,201,0.0,0.4,Philip,58.0,21,0,0,0,1,0,0,0,0,0,0,0,5,5.2,4.7,4.0,1.4,0,0.00,0.09,0.09,0.58,398,193,357,195,342,189,406,198,,,3.0,,,,0.0,0.0,0.39,0.39,2.49,4.29,302,203,586,252,370,181,507,195,0.0,0.0
87,0.0,0.0,503139,0,0,-2,2,0,3,0.0,0.0,0,Alex,1.3,77,False,Knee injury - Unknown return date,2024-10-25T09:00:05.962917Z,48,503139.jpg,1.4,Scott,0.0,False,,i,3,91,11,2137,38,4412,419,0.3,2.3,Scott,241.0,258,0,0,1,3,0,0,0,0,0,0,0,54,71.0,65.5,21.0,15.8,2,0.12,0.17,0.29,3.67,230,100,158,104,243,138,234,113,,,,,,,0.04,0.0,0.06,0.1,1.28,1.05,330,218,217,104,293,139,533,213,0.7,0.35
88,,,437730,0,0,1,-1,0,3,0.7,1.7,1,Antoine,1.7,78,False,,,56,437730.jpg,3.8,Semenyo,7.9,False,,a,3,91,34,1463247,12067,800794,54210,0.3,6.1,Semenyo,81.0,787,3,1,1,11,0,0,0,4,0,0,1,123,180.8,146.1,304.0,62.7,9,2.78,1.59,4.37,11.19,64,20,57,47,10,5,21,15,,,,,,,0.32,0.0,0.18,0.5,1.28,1.26,108,66,200,98,58,24,54,16,1.03,0.11
89,,,221466,0,0,-2,2,1,2,3.0,4.0,2,Marcos,4.0,79,False,,,48,221466.jpg,2.4,Senesi,0.6,False,,a,3,91,17,31824,1947,71585,2285,0.8,3.5,Senesi,10.0,616,0,0,1,7,0,0,0,3,0,0,3,74,166.0,59.2,14.0,24.1,7,0.12,0.35,0.47,8.16,74,23,178,44,275,83,173,49,,,,,,,0.02,0.0,0.05,0.07,1.19,1.02,309,34,51,15,172,50,234,84,1.02,0.15
90,50.0,0.0,224995,0,0,0,0,1,3,-0.2,0.0,0,Luis,0.7,80,False,Knock - 50% chance of playing,2024-10-25T09:00:05.974870Z,50,224995.jpg,2.4,Sinisterra,0.3,False,,d,3,91,19,68015,34,62483,4088,0.1,3.8,Sinisterra,48.0,203,1,1,0,3,0,0,0,0,0,0,2,75,98.4,96.3,177.0,37.2,1,1.09,0.91,2.00,3.48,188,75,114,84,36,21,78,50,,,,,,,0.48,0.0,0.4,0.88,1.54,1.33,213,135,296,145,173,75,313,103,0.44,0.0
91,,,54469,0,0,0,0,0,2,0.3,1.3,1,Adam,1.3,81,False,,,45,54469.jpg,1.8,Smith,0.2,False,,a,3,91,16,14233,239,16027,647,0.3,3.6,Smith,241.0,431,0,0,1,4,0,0,0,2,0,0,0,54,48.8,31.7,2.0,8.2,4,0.00,0.03,0.03,5.00,282,99,250,72,354,118,304,98,,,,,,,0.0,0.0,0.01,0.01,1.04,0.84,356,54,207,59,249,83,365,128,0.84,0.21
92,,,201658,0,0,0,0,0,3,1.7,2.7,3,Marcus,2.7,83,False,,,55,201658.jpg,3.3,Tavernier,0.4,False,,a,3,91,30,60401,1255,49336,2130,0.5,5.5,Tavernier,241.0,689,1,2,2,10,0,0,0,2,0,0,2,118,170.4,294.1,212.0,67.7,8,2.46,0.98,3.44,9.48,68,22,11,10,28,17,15,10,2.0,,2.0,,,,0.32,0.0,0.13,0.45,1.24,1.31,114,70,125,54,95,37,290,94,1.04,0.26
93,,,229600,0,0,-1,1,0,1,0.7,1.7,5,Mark,1.7,84,False,,,44,229600.jpg,3.5,Travers,0.1,False,,a,3,91,7,4193,715,8734,202,0.4,1.6,Travers,104.0,180,0,0,0,2,0,0,0,0,0,9,1,28,66.4,0.0,0.0,6.6,2,0.00,0.00,0.00,2.59,238,24,528,57,496,50,326,24,,,,,,,0.0,4.5,0.0,0.0,1.3,1.0,512,29,189,18,78,12,410,58,1.0,0.0
94,,,477580,0,0,-1,1,0,2,2.3,3.3,2,Illia,3.3,85,False,,,44,477580.jpg,2.2,Zabarnyi,0.4,False,,a,3,91,20,24187,1094,31238,1244,0.7,4.5,Zabarnyi,225.0,810,0,0,1,11,0,0,0,0,0,0,0,94,142.8,18.2,14.0,17.6,9,0.30,0.11,0.41,11.60,114,43,287,87,273,82,221,70,,,,,,,0.03,0.0,0.01,0.04,1.29,1.22,528,122,75,24,194,62,286,105,1.0,0.11
95,75.0,100.0,109745,0,0,0,0,0,1,1.3,2.7,0,Kepa,2.7,152,False,Muscle injury - 75% chance of playing,2024-10-26T20:00:07.229572Z,45,109745.jpg,3.4,Arrizabalaga,0.8,False,,d,3,91,17,96569,629,63747,5511,0.6,3.8,Arrizabalaga,200.0,450,0,0,1,7,0,0,0,0,0,19,0,65,138.2,0.0,0.0,13.8,5,0.00,0.00,0.00,6.10,123,19,546,62,516,55,253,19,,,,,,,0.0,3.8,0.0,0.0,1.22,1.4,362,13,110,11,81,13,224,31,1.0,0.2
96,,,554605,-1,1,-2,2,0,2,-1.0,0.0,0,Dean,0.0,580,False,,,43,554605.jpg,1.0,Huijsen,0.1,False,,a,3,91,3,2737,41,7363,232,0.0,0.7,Huijsen,200.0,193,0,0,0,4,0,0,0,1,0,0,0,10,39.0,31.4,4.0,7.5,2,0.04,0.01,0.05,3.44,301,105,253,73,336,109,314,102,,,,,,,0.02,0.0,0.0,0.02,1.6,1.87,569,152,467,186,347,122,451,162,0.93,0.0
97,,,436893,0,0,-1,1,0,2,-0.7,0.3,0,Julián,0.3,592,False,,,44,436893.jpg,1.0,Araujo Zúñiga,0.2,False,,a,3,91,7,9953,141,15325,636,0.1,1.6,J.Araujo,139.0,346,0,0,0,7,0,0,0,1,0,0,0,8,38.0,7.9,2.0,4.9,5,0.00,0.04,0.04,6.59,304,107,340,109,353,117,343,111,,,,,,,0.0,0.0,0.01,0.01,1.71,1.82,521,119,325,107,350,124,363,127,1.3,0.0
98,,,444172,0,0,0,0,0,1,-1.0,0.0,0,Will,0.0,599,False,,,40,444172.jpg,0.0,Dennis,0.4,False,,a,3,91,0,28359,1022,15692,575,0.0,0.0,Dennis,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,474,50,461,32,417,24,477,50,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,623,62,400,46,479,50,276,42,0.0,0.0
99,,,444102,0,0,-1,1,0,4,4.0,5.0,8,Francisco Evanilson,5.0,617,False,,,59,444102.jpg,3.8,de Lima Barbosa,0.6,False,,a,3,91,30,137226,4926,88163,4060,0.8,5.1,Evanilson,30.0,539,2,1,3,8,0,0,1,0,0,0,6,102,88.4,64.0,171.0,32.2,7,2.54,0.59,3.13,6.93,200,21,161,18,39,17,111,19,,,,,2.0,,0.42,0.0,0.1,0.52,1.16,1.34,88,26,32,9,59,17,243,44,1.17,0.5
